postcode,LGA,mean_price 2020 Q1,mean_price 2020 Q2,mean_price 2020 Q3,mean_price 2020 Q4,mean_price 2021 Q1,median_price 2020 Q1,median_price 2020 Q2,median_price 2020 Q3,median_price 2020 Q4,median_price 2021 Q1,median_rent_newb 2020 Q1,median_rent_newb 2020 Q2,median_rent_newb 2020 Q3,median_rent_newb 2020 Q4,median_rent_newb 2021 Q1,new_bonds_no 2020 Q1,new_bonds_no 2020 Q2,new_bonds_no 2020 Q3,new_bonds_no 2020 Q4,new_bonds_no 2021 Q1,sales_no 2020 Q1,sales_no 2020 Q2,sales_no 2020 Q3,sales_no 2020 Q4,sales_no 2021 Q1,total_bonds_no 2020 Q1,total_bonds_no 2020 Q2,total_bonds_no 2020 Q3,total_bonds_no 2020 Q4,total_bonds_no 2021 Q1
2087,NORTHERN BEACHES,1868.0,1870.0,1775.0,1876.0,1973.0,1830.0,1760.0,1725.0,1850.0,2155.0,860.0,835.0,760.0,790.0,790.0,74.0,51.0,64.0,57.0,63.0,20.0,20.0,33.0,45.0,20.0,615.0,610.0,619.0,629.0,635.0
2088,MOSMAN,2466.0,2268.0,2346.0,2921.0,2901.0,1310.0,1500.0,1463.0,2300.0,2050.0,623.0,600.0,600.0,560.0,630.0,404.0,346.0,448.0,383.0,439.0,120.0,106.0,158.0,157.0,145.0,4023.0,3956.0,3997.0,4002.0,4049.0
2089,NORTH SYDNEY,1363.0,1172.0,1326.0,1589.0,1401.0,1098.0,1100.0,1018.0,1190.0,1114.0,600.0,550.0,560.0,550.0,515.0,321.0,282.0,350.0,354.0,339.0,68.0,53.0,74.0,82.0,74.0,3153.0,3100.0,3127.0,3141.0,3168.0
2090,NORTH SYDNEY,1689.0,1455.0,1571.0,1675.0,2089.0,1305.0,1165.0,1215.0,1330.0,1415.0,650.0,620.0,600.0,580.0,593.0,236.0,237.0,301.0,278.0,286.0,60.0,53.0,59.0,81.0,65.0,2654.0,2643.0,2683.0,2667.0,2670.0
2092,NORTHERN BEACHES,2614.0,2478.0,3176.0,3422.0,3677.0,2700.0,2170.0,3018.0,3115.0,3000.0,1000.0,1000.0,975.0,1245.0,1200.0,46.0,39.0,33.0,33.0,20.0,20.0,20.0,20.0,20.0,20.0,341.0,343.0,336.0,335.0,335.0
2093,NORTHERN BEACHES,1998.0,1832.0,1931.0,2004.0,2100.0,1870.0,1885.0,1900.0,1850.0,1913.0,650.0,650.0,618.0,655.0,635.0,216.0,219.0,246.0,184.0,228.0,87.0,76.0,99.0,101.0,132.0,2200.0,2186.0,2217.0,2197.0,2205.0
2094,NORTHERN BEACHES,1822.0,1710.0,1887.0,2227.0,1836.0,1805.0,1355.0,1658.0,2360.0,1500.0,848.0,695.0,720.0,723.0,780.0,76.0,90.0,89.0,108.0,77.0,33.0,20.0,20.0,36.0,20.0,880.0,873.0,882.0,894.0,897.0
2095,NORTHERN BEACHES,1904.0,1884.0,1846.0,2009.0,2023.0,1701.0,1718.0,1653.0,1833.0,1794.0,790.0,690.0,705.0,750.0,760.0,360.0,524.0,495.0,409.0,411.0,67.0,64.0,97.0,106.0,100.0,3671.0,3726.0,3809.0,3888.0,3882.0
2096,NORTHERN BEACHES,1649.0,1474.0,1572.0,1854.0,1885.0,1210.0,1230.0,1275.0,1335.0,1269.0,650.0,590.0,650.0,663.0,670.0,221.0,246.0,264.0,176.0,207.0,60.0,55.0,78.0,86.0,72.0,2230.0,2229.0,2252.0,2228.0,2213.0
2097,NORTHERN BEACHES,1443.0,1617.0,1645.0,1684.0,1794.0,1173.0,1565.0,1605.0,1682.0,1620.0,625.0,650.0,625.0,710.0,625.0,147.0,124.0,116.0,115.0,107.0,44.0,43.0,63.0,70.0,57.0,1257.0,1257.0,1283.0,1279.0,1283.0
2099,NORTHERN BEACHES,1138.0,1113.0,1191.0,1182.0,1371.0,980.0,891.0,950.0,920.0,1038.0,580.0,575.0,560.0,600.0,590.0,495.0,483.0,485.0,500.0,518.0,171.0,148.0,174.0,230.0,168.0,5395.0,5379.0,5446.0,5471.0,5473.0
2100,NORTHERN BEACHES,1453.0,1469.0,1392.0,1521.0,1711.0,1551.0,1493.0,1495.0,1588.0,1850.0,650.0,600.0,575.0,588.0,610.0,161.0,139.0,139.0,140.0,120.0,56.0,54.0,76.0,102.0,89.0,1410.0,1404.0,1443.0,1478.0,1471.0
2101,NORTHERN BEACHES,1320.0,1381.0,1426.0,1631.0,1707.0,1260.0,1420.0,1328.0,1655.0,1600.0,610.0,650.0,623.0,650.0,670.0,185.0,148.0,132.0,153.0,141.0,55.0,53.0,90.0,96.0,65.0,1792.0,1781.0,1791.0,1799.0,1792.0
2102,NORTHERN BEACHES,1300.0,1297.0,1406.0,1303.0,1604.0,1190.0,1300.0,1260.0,1152.0,1360.0,888.0,800.0,720.0,760.0,895.0,32.0,46.0,42.0,41.0,37.0,20.0,20.0,38.0,44.0,32.0,462.0,454.0,463.0,465.0,463.0
2103,NORTHERN BEACHES,1513.0,1721.0,1593.0,1670.0,2041.0,1460.0,1690.0,1525.0,1493.0,1785.0,678.0,600.0,650.0,680.0,673.0,88.0,69.0,76.0,83.0,66.0,20.0,20.0,57.0,62.0,36.0,899.0,900.0,921.0,927.0,919.0
2104,NORTHERN BEACHES,705.0,725.0,2623.0,3282.0,2951.0,705.0,725.0,2320.0,2255.0,2490.0,450.0,1220.0,450.0,1250.0,1500.0,5.0,20.0,5.0,20.0,20.0,5.0,5.0,20.0,20.0,20.0,73.0,76.0,74.0,78.0,78.0
2105,NORTHERN BEACHES,1528.0,725.0,2202.0,2018.0,2827.0,1208.0,725.0,2150.0,1827.0,2300.0,450.0,450.0,450.0,450.0,450.0,5.0,5.0,5.0,5.0,5.0,20.0,5.0,20.0,20.0,20.0,83.0,80.0,86.0,83.0,81.0
2106,NORTHERN BEACHES,1702.0,2231.0,1799.0,2001.0,2227.0,1700.0,1605.0,1750.0,1849.0,1925.0,595.0,615.0,590.0,700.0,683.0,63.0,76.0,62.0,71.0,68.0,39.0,40.0,49.0,54.0,54.0,826.0,820.0,826.0,822.0,821.0
2107,NORTHERN BEACHES,2191.0,1801.0,2114.0,2473.0,3045.0,2100.0,1700.0,1923.0,2300.0,2798.0,778.0,778.0,650.0,850.0,900.0,74.0,84.0,86.0,52.0,73.0,51.0,57.0,86.0,96.0,48.0,735.0,754.0,780.0,774.0,765.0
2108,NORTHERN BEACHES,705.0,3259.0,5325.0,4259.0,2629.0,705.0,3338.0,4305.0,3715.0,2825.0,1100.0,920.0,450.0,450.0,450.0,20.0,20.0,5.0,5.0,5.0,5.0,20.0,20.0,20.0,20.0,127.0,135.0,133.0,121.0,122.0
2110,HUNTERS HILL,2721.0,2577.0,3436.0,3030.0,2971.0,2900.0,2288.0,2570.0,2710.0,2400.0,700.0,668.0,800.0,680.0,650.0,56.0,50.0,50.0,47.0,52.0,20.0,20.0,49.0,45.0,37.0,547.0,539.0,545.0,539.0,536.0
2111,HUNTERS HILL,1235.0,1296.0,1352.0,1484.0,1386.0,805.0,880.0,988.0,1430.0,935.0,480.0,480.0,480.0,480.0,500.0,188.0,179.0,264.0,214.0,235.0,68.0,57.0,64.0,91.0,77.0,1922.0,1885.0,1976.0,1997.0,2036.0
2111,RYDE,1235.0,1296.0,1352.0,1484.0,1386.0,805.0,880.0,988.0,1430.0,935.0,480.0,480.0,480.0,480.0,500.0,188.0,179.0,264.0,214.0,235.0,68.0,57.0,64.0,91.0,77.0,1922.0,1885.0,1976.0,1997.0,2036.0
2111,CITY OF RYDE,1235.0,1296.0,1352.0,1484.0,1386.0,805.0,880.0,988.0,1430.0,935.0,480.0,480.0,480.0,480.0,500.0,188.0,179.0,264.0,214.0,235.0,68.0,57.0,64.0,91.0,77.0,1922.0,1885.0,1976.0,1997.0,2036.0
2112,RYDE,1035.0,1093.0,1168.0,1220.0,1257.0,810.0,810.0,1035.0,903.0,865.0,510.0,480.0,460.0,450.0,450.0,598.0,454.0,672.0,646.0,647.0,150.0,102.0,142.0,180.0,151.0,4894.0,4823.0,4954.0,5151.0,5245.0
2113,RYDE,990.0,1113.0,1038.0,1048.0,1084.0,865.0,863.0,900.0,885.0,977.0,530.0,490.0,470.0,450.0,470.0,791.0,499.0,725.0,632.0,650.0,121.0,68.0,114.0,149.0,188.0,3832.0,3857.0,4199.0,4494.0,4530.0
2114,CITY OF PARRAMATTA,946.0,984.0,970.0,1059.0,1021.0,695.0,830.0,798.0,831.0,796.0,475.0,450.0,430.0,420.0,420.0,437.0,367.0,529.0,459.0,582.0,70.0,55.0,146.0,133.0,110.0,3936.0,3890.0,4002.0,4046.0,4149.0
2114,RYDE,946.0,984.0,970.0,1059.0,1021.0,695.0,830.0,798.0,831.0,796.0,475.0,450.0,430.0,420.0,420.0,437.0,367.0,529.0,459.0,582.0,70.0,55.0,146.0,133.0,110.0,3936.0,3890.0,4002.0,4046.0,4149.0
2115,CITY OF PARRAMATTA,1013.0,1060.0,1180.0,1177.0,1207.0,1035.0,1052.0,1245.0,1239.0,1275.0,520.0,490.0,500.0,495.0,495.0,105.0,97.0,103.0,87.0,125.0,35.0,20.0,35.0,46.0,53.0,969.0,982.0,1005.0,1002.0,1006.0
2116,CITY OF PARRAMATTA,1046.0,725.0,1070.0,989.0,958.0,1140.0,725.0,1150.0,1050.0,660.0,480.0,480.0,495.0,470.0,430.0,56.0,45.0,61.0,51.0,67.0,20.0,5.0,20.0,33.0,31.0,581.0,573.0,577.0,563.0,573.0
2117,CITY OF PARRAMATTA,1141.0,1092.0,1108.0,1222.0,1202.0,1173.0,1152.0,1133.0,1215.0,1225.0,490.0,500.0,500.0,480.0,460.0,151.0,137.0,188.0,169.0,181.0,54.0,47.0,81.0,89.0,86.0,1764.0,1755.0,1768.0,1779.0,1803.0
2118,CITY OF PARRAMATTA,1066.0,1124.0,1095.0,1773.0,1093.0,1005.0,1243.0,1105.0,1205.0,800.0,510.0,500.0,475.0,470.0,465.0,319.0,214.0,335.0,274.0,318.0,63.0,44.0,81.0,98.0,105.0,2558.0,2530.0,2642.0,2744.0,2782.0
2118,THE HILLS SHIRE,1066.0,1124.0,1095.0,1773.0,1093.0,1005.0,1243.0,1105.0,1205.0,800.0,510.0,500.0,475.0,470.0,465.0,319.0,214.0,335.0,274.0,318.0,63.0,44.0,81.0,98.0,105.0,2558.0,2530.0,2642.0,2744.0,2782.0
2119,CITY OF PARRAMATTA,1817.0,1505.0,1787.0,1793.0,1947.0,1755.0,1520.0,1638.0,1735.0,1910.0,640.0,563.0,620.0,610.0,590.0,57.0,56.0,53.0,54.0,66.0,20.0,20.0,20.0,55.0,46.0,588.0,587.0,599.0,590.0,598.0
2119,HORNSBY,1817.0,1505.0,1787.0,1793.0,1947.0,1755.0,1520.0,1638.0,1735.0,1910.0,640.0,563.0,620.0,610.0,590.0,57.0,56.0,53.0,54.0,66.0,20.0,20.0,20.0,55.0,46.0,588.0,587.0,599.0,590.0,598.0
2119,THE HILLS SHIRE,1817.0,1505.0,1787.0,1793.0,1947.0,1755.0,1520.0,1638.0,1735.0,1910.0,640.0,563.0,620.0,610.0,590.0,57.0,56.0,53.0,54.0,66.0,20.0,20.0,20.0,55.0,46.0,588.0,587.0,599.0,590.0,598.0
2120,HORNSBY,1232.0,1255.0,1188.0,1281.0,1337.0,1383.0,1308.0,1258.0,1308.0,1413.0,600.0,600.0,513.0,550.0,500.0,111.0,87.0,130.0,120.0,133.0,50.0,46.0,82.0,76.0,87.0,1144.0,1120.0,1157.0,1191.0,1205.0
2121,CITY OF PARRAMATTA,1138.0,1394.0,1230.0,1264.0,1225.0,870.0,1485.0,1107.0,975.0,844.0,550.0,510.0,500.0,490.0,500.0,517.0,317.0,563.0,516.0,536.0,119.0,66.0,111.0,143.0,121.0,3824.0,3732.0,3912.0,4045.0,4090.0
2121,HORNSBY,1138.0,1394.0,1230.0,1264.0,1225.0,870.0,1485.0,1107.0,975.0,844.0,550.0,510.0,500.0,490.0,500.0,517.0,317.0,563.0,516.0,536.0,119.0,66.0,111.0,143.0,121.0,3824.0,3732.0,3912.0,4045.0,4090.0
2122,CITY OF PARRAMATTA,1347.0,1070.0,1161.0,1299.0,1236.0,1076.0,880.0,900.0,1072.0,905.0,500.0,480.0,450.0,480.0,458.0,345.0,272.0,427.0,394.0,374.0,47.0,51.0,95.0,123.0,109.0,3171.0,3164.0,3244.0,3333.0,3379.0
2122,RYDE,1347.0,1070.0,1161.0,1299.0,1236.0,1076.0,880.0,900.0,1072.0,905.0,500.0,480.0,450.0,480.0,458.0,345.0,272.0,427.0,394.0,374.0,47.0,51.0,95.0,123.0,109.0,3171.0,3164.0,3244.0,3333.0,3379.0
2125,CITY OF PARRAMATTA,1718.0,1639.0,1578.0,1813.0,2052.0,1802.0,1623.0,1505.0,1806.0,2015.0,670.0,730.0,555.0,605.0,650.0,51.0,43.0,62.0,54.0,55.0,20.0,32.0,47.0,50.0,69.0,577.0,580.0,610.0,608.0,623.0
2125,HORNSBY,1718.0,1639.0,1578.0,1813.0,2052.0,1802.0,1623.0,1505.0,1806.0,2015.0,670.0,730.0,555.0,605.0,650.0,51.0,43.0,62.0,54.0,55.0,20.0,32.0,47.0,50.0,69.0,577.0,580.0,610.0,608.0,623.0
2125,THE HILLS SHIRE,1718.0,1639.0,1578.0,1813.0,2052.0,1802.0,1623.0,1505.0,1806.0,2015.0,670.0,730.0,555.0,605.0,650.0,51.0,43.0,62.0,54.0,55.0,20.0,32.0,47.0,50.0,69.0,577.0,580.0,610.0,608.0,623.0
2126,HORNSBY,1472.0,1418.0,1370.0,1500.0,1774.0,1500.0,1450.0,1373.0,1545.0,1860.0,700.0,700.0,710.0,750.0,750.0,82.0,59.0,64.0,70.0,59.0,20.0,36.0,46.0,56.0,49.0,849.0,847.0,839.0,843.0,840.0
2127,CANADA BAY,731.0,1839.0,699.0,735.0,783.0,700.0,694.0,675.0,705.0,721.0,540.0,500.0,500.0,500.0,500.0,671.0,608.0,846.0,682.0,796.0,125.0,98.0,134.0,160.0,146.0,4753.0,4739.0,5032.0,5443.0,5487.0
2127,CITY OF PARRAMATTA,731.0,1839.0,699.0,735.0,783.0,700.0,694.0,675.0,705.0,721.0,540.0,500.0,500.0,500.0,500.0,671.0,608.0,846.0,682.0,796.0,125.0,98.0,134.0,160.0,146.0,4753.0,4739.0,5032.0,5443.0,5487.0
2128,CITY OF PARRAMATTA,705.0,725.0,724.0,733.0,882.0,705.0,725.0,724.0,733.0,761.0,440.0,405.0,410.0,385.0,450.0,33.0,20.0,33.0,39.0,43.0,5.0,5.0,5.0,5.0,20.0,360.0,343.0,355.0,385.0,378.0
2130,INNER WEST,1044.0,985.0,1106.0,1506.0,1206.0,770.0,905.0,962.0,1535.0,870.0,480.0,460.0,450.0,450.0,423.0,164.0,144.0,201.0,158.0,214.0,20.0,20.0,35.0,37.0,31.0,1724.0,1692.0,1711.0,1692.0,1693.0
2131,INNER WEST,940.0,890.0,921.0,906.0,921.0,755.0,680.0,726.0,768.0,745.0,480.0,450.0,420.0,410.0,430.0,442.0,356.0,469.0,469.0,511.0,62.0,41.0,90.0,100.0,103.0,4380.0,4308.0,4286.0,4310.0,4338.0
2132,BURWOOD,1262.0,1624.0,1217.0,1397.0,1348.0,1290.0,1777.0,878.0,1451.0,1400.0,550.0,525.0,515.0,500.0,450.0,69.0,60.0,76.0,94.0,109.0,20.0,20.0,20.0,35.0,20.0,855.0,848.0,848.0,859.0,894.0
2132,INNER WEST,1262.0,1624.0,1217.0,1397.0,1348.0,1290.0,1777.0,878.0,1451.0,1400.0,550.0,525.0,515.0,500.0,450.0,69.0,60.0,76.0,94.0,109.0,20.0,20.0,20.0,35.0,20.0,855.0,848.0,848.0,859.0,894.0
2133,BURWOOD,1151.0,899.0,954.0,1116.0,1117.0,1165.0,950.0,965.0,1100.0,873.0,425.0,430.0,405.0,420.0,465.0,88.0,82.0,108.0,98.0,96.0,20.0,20.0,20.0,33.0,38.0,1045.0,1030.0,1041.0,1066.0,1065.0
2133,CANTERBURY-BANKSTOWN,1151.0,899.0,954.0,1116.0,1117.0,1165.0,950.0,965.0,1100.0,873.0,425.0,430.0,405.0,420.0,465.0,88.0,82.0,108.0,98.0,96.0,20.0,20.0,20.0,33.0,38.0,1045.0,1030.0,1041.0,1066.0,1065.0
2133,INNER WEST,1151.0,899.0,954.0,1116.0,1117.0,1165.0,950.0,965.0,1100.0,873.0,425.0,430.0,405.0,420.0,465.0,88.0,82.0,108.0,98.0,96.0,20.0,20.0,20.0,33.0,38.0,1045.0,1030.0,1041.0,1066.0,1065.0
2134,BURWOOD,933.0,1040.0,981.0,1119.0,1156.0,870.0,745.0,863.0,830.0,875.0,630.0,510.0,510.0,500.0,500.0,384.0,314.0,593.0,415.0,494.0,55.0,20.0,52.0,63.0,60.0,2562.0,2523.0,2736.0,2876.0,2927.0
2135,BURWOOD,1621.0,1640.0,1487.0,1672.0,1520.0,1105.0,1139.0,796.0,955.0,779.0,540.0,510.0,500.0,480.0,450.0,385.0,340.0,631.0,500.0,554.0,57.0,46.0,76.0,112.0,100.0,3454.0,3311.0,3474.0,3512.0,3593.0
2135,CANADA BAY,1621.0,1640.0,1487.0,1672.0,1520.0,1105.0,1139.0,796.0,955.0,779.0,540.0,510.0,500.0,480.0,450.0,385.0,340.0,631.0,500.0,554.0,57.0,46.0,76.0,112.0,100.0,3454.0,3311.0,3474.0,3512.0,3593.0
2135,STRATHFIELD,1621.0,1640.0,1487.0,1672.0,1520.0,1105.0,1139.0,796.0,955.0,779.0,540.0,510.0,500.0,480.0,450.0,385.0,340.0,631.0,500.0,554.0,57.0,46.0,76.0,112.0,100.0,3454.0,3311.0,3474.0,3512.0,3593.0
2136,BURWOOD,977.0,856.0,1014.0,1029.0,983.0,764.0,704.0,793.0,815.0,685.0,500.0,480.0,480.0,450.0,420.0,74.0,61.0,78.0,69.0,104.0,20.0,20.0,20.0,41.0,32.0,840.0,823.0,826.0,820.0,839.0
2136,STRATHFIELD,977.0,856.0,1014.0,1029.0,983.0,764.0,704.0,793.0,815.0,685.0,500.0,480.0,480.0,450.0,420.0,74.0,61.0,78.0,69.0,104.0,20.0,20.0,20.0,41.0,32.0,840.0,823.0,826.0,820.0,839.0
2137,CANADA BAY,1478.0,1423.0,1575.0,1453.0,1568.0,1550.0,1340.0,1593.0,1255.0,1288.0,580.0,575.0,550.0,550.0,550.0,302.0,269.0,336.0,311.0,335.0,92.0,79.0,98.0,115.0,114.0,2947.0,2870.0,2929.0,3092.0,3092.0
2138,CANADA BAY,1146.0,1145.0,1095.0,1104.0,1133.0,973.0,884.0,908.0,871.0,962.0,610.0,560.0,550.0,530.0,550.0,465.0,458.0,551.0,445.0,648.0,70.0,52.0,62.0,88.0,105.0,3354.0,3286.0,3358.0,3449.0,3540.0
2140,CUMBERLAND,651.0,674.0,713.0,1145.0,621.0,645.0,625.0,639.0,644.0,619.0,490.0,480.0,460.0,450.0,425.0,503.0,362.0,540.0,526.0,539.0,102.0,51.0,78.0,122.0,110.0,3741.0,3661.0,3722.0,4009.0,3965.0
2140,STRATHFIELD,651.0,674.0,713.0,1145.0,621.0,645.0,625.0,639.0,644.0,619.0,490.0,480.0,460.0,450.0,425.0,503.0,362.0,540.0,526.0,539.0,102.0,51.0,78.0,122.0,110.0,3741.0,3661.0,3722.0,4009.0,3965.0
2141,CITY OF PARRAMATTA,865.0,808.0,854.0,837.0,861.0,855.0,795.0,800.0,800.0,801.0,500.0,500.0,510.0,480.0,465.0,351.0,350.0,502.0,444.0,440.0,67.0,51.0,107.0,199.0,199.0,3577.0,3567.0,3670.0,3759.0,3790.0
2141,CUMBERLAND,865.0,808.0,854.0,837.0,861.0,855.0,795.0,800.0,800.0,801.0,500.0,500.0,510.0,480.0,465.0,351.0,350.0,502.0,444.0,440.0,67.0,51.0,107.0,199.0,199.0,3577.0,3567.0,3670.0,3759.0,3790.0
2142,CITY OF PARRAMATTA,598.0,633.0,621.0,685.0,583.0,561.0,577.0,580.0,650.0,520.0,430.0,410.0,400.0,400.0,400.0,429.0,320.0,489.0,448.0,450.0,52.0,48.0,61.0,84.0,95.0,4076.0,3997.0,4059.0,4036.0,4057.0
2142,CUMBERLAND,598.0,633.0,621.0,685.0,583.0,561.0,577.0,580.0,650.0,520.0,430.0,410.0,400.0,400.0,400.0,429.0,320.0,489.0,448.0,450.0,52.0,48.0,61.0,84.0,95.0,4076.0,3997.0,4059.0,4036.0,4057.0
2143,CANTERBURY-BANKSTOWN,881.0,830.0,768.0,827.0,848.0,920.0,786.0,818.0,850.0,849.0,450.0,450.0,415.0,400.0,450.0,64.0,74.0,76.0,74.0,75.0,20.0,20.0,20.0,20.0,20.0,780.0,786.0,807.0,811.0,815.0
2143,CUMBERLAND,881.0,830.0,768.0,827.0,848.0,920.0,786.0,818.0,850.0,849.0,450.0,450.0,415.0,400.0,450.0,64.0,74.0,76.0,74.0,75.0,20.0,20.0,20.0,20.0,20.0,780.0,786.0,807.0,811.0,815.0
2144,CITY OF PARRAMATTA,767.0,725.0,751.0,742.0,702.0,670.0,650.0,700.0,680.0,635.0,450.0,450.0,450.0,420.0,430.0,411.0,319.0,536.0,498.0,572.0,73.0,41.0,66.0,88.0,106.0,4398.0,4318.0,4333.0,4352.0,4383.0
2144,CUMBERLAND,767.0,725.0,751.0,742.0,702.0,670.0,650.0,700.0,680.0,635.0,450.0,450.0,450.0,420.0,430.0,411.0,319.0,536.0,498.0,572.0,73.0,41.0,66.0,88.0,106.0,4398.0,4318.0,4333.0,4352.0,4383.0
2145,CITY OF PARRAMATTA,740.0,880.0,760.0,747.0,779.0,670.0,765.0,770.0,655.0,690.0,450.0,430.0,430.0,430.0,420.0,1145.0,775.0,1118.0,1079.0,1121.0,243.0,167.0,233.0,348.0,330.0,10005.0,9965.0,10209.0,10447.0,10514.0
2145,CUMBERLAND,740.0,880.0,760.0,747.0,779.0,670.0,765.0,770.0,655.0,690.0,450.0,430.0,430.0,430.0,420.0,1145.0,775.0,1118.0,1079.0,1121.0,243.0,167.0,233.0,348.0,330.0,10005.0,9965.0,10209.0,10447.0,10514.0
2146,BLACKTOWN,746.0,719.0,739.0,765.0,816.0,779.0,761.0,791.0,807.0,838.0,450.0,430.0,440.0,430.0,420.0,170.0,144.0,209.0,180.0,205.0,44.0,20.0,74.0,79.0,71.0,1799.0,1774.0,1828.0,1827.0,1847.0
2146,CITY OF PARRAMATTA,746.0,719.0,739.0,765.0,816.0,779.0,761.0,791.0,807.0,838.0,450.0,430.0,440.0,430.0,420.0,170.0,144.0,209.0,180.0,205.0,44.0,20.0,74.0,79.0,71.0,1799.0,1774.0,1828.0,1827.0,1847.0
2146,CUMBERLAND,746.0,719.0,739.0,765.0,816.0,779.0,761.0,791.0,807.0,838.0,450.0,430.0,440.0,430.0,420.0,170.0,144.0,209.0,180.0,205.0,44.0,20.0,74.0,79.0,71.0,1799.0,1774.0,1828.0,1827.0,1847.0
2147,BLACKTOWN,746.0,760.0,786.0,809.0,865.0,750.0,743.0,760.0,790.0,840.0,410.0,400.0,410.0,410.0,430.0,270.0,227.0,279.0,256.0,254.0,90.0,90.0,127.0,116.0,116.0,2650.0,2664.0,2732.0,2787.0,2816.0
2147,CITY OF PARRAMATTA,746.0,760.0,786.0,809.0,865.0,750.0,743.0,760.0,790.0,840.0,410.0,400.0,410.0,410.0,430.0,270.0,227.0,279.0,256.0,254.0,90.0,90.0,127.0,116.0,116.0,2650.0,2664.0,2732.0,2787.0,2816.0
2148,BLACKTOWN,663.0,655.0,658.0,686.0,722.0,672.0,670.0,665.0,710.0,750.0,400.0,390.0,400.0,400.0,400.0,675.0,680.0,819.0,719.0,655.0,174.0,129.0,195.0,237.0,264.0,7436.0,7561.0,7772.0,7854.0,7847.0
2148,CUMBERLAND,663.0,655.0,658.0,686.0,722.0,672.0,670.0,665.0,710.0,750.0,400.0,390.0,400.0,400.0,400.0,675.0,680.0,819.0,719.0,655.0,174.0,129.0,195.0,237.0,264.0,7436.0,7561.0,7772.0,7854.0,7847.0
2150,CITY OF PARRAMATTA,630.0,805.0,578.0,863.0,626.0,583.0,573.0,550.0,599.0,580.0,470.0,450.0,450.0,410.0,420.0,1069.0,746.0,1292.0,1236.0,1192.0,98.0,66.0,120.0,159.0,145.0,9235.0,9021.0,9281.0,9480.0,9463.0
2150,CUMBERLAND,630.0,805.0,578.0,863.0,626.0,583.0,573.0,550.0,599.0,580.0,470.0,450.0,450.0,410.0,420.0,1069.0,746.0,1292.0,1236.0,1192.0,98.0,66.0,120.0,159.0,145.0,9235.0,9021.0,9281.0,9480.0,9463.0
2151,CITY OF PARRAMATTA,860.0,968.0,832.0,957.0,1004.0,693.0,1005.0,665.0,859.0,848.0,455.0,430.0,445.0,440.0,420.0,244.0,214.0,308.0,290.0,281.0,43.0,36.0,67.0,84.0,77.0,2983.0,2943.0,2977.0,2993.0,2963.0
2151,THE HILLS SHIRE,860.0,968.0,832.0,957.0,1004.0,693.0,1005.0,665.0,859.0,848.0,455.0,430.0,445.0,440.0,420.0,244.0,214.0,308.0,290.0,281.0,43.0,36.0,67.0,84.0,77.0,2983.0,2943.0,2977.0,2993.0,2963.0
2152,CITY OF PARRAMATTA,763.0,821.0,827.0,769.0,871.0,665.0,808.0,780.0,720.0,870.0,428.0,410.0,400.0,430.0,428.0,116.0,117.0,134.0,113.0,100.0,45.0,34.0,45.0,59.0,47.0,1269.0,1246.0,1248.0,1238.0,1217.0
2153,CITY OF PARRAMATTA,1129.0,1085.0,1076.0,1199.0,1285.0,1150.0,1100.0,1080.0,1230.0,1261.0,540.0,550.0,550.0,550.0,540.0,374.0,254.0,403.0,445.0,463.0,162.0,149.0,190.0,239.0,200.0,3569.0,3531.0,3606.0,3864.0,3952.0
2153,THE HILLS SHIRE,1129.0,1085.0,1076.0,1199.0,1285.0,1150.0,1100.0,1080.0,1230.0,1261.0,540.0,550.0,550.0,550.0,540.0,374.0,254.0,403.0,445.0,463.0,162.0,149.0,190.0,239.0,200.0,3569.0,3531.0,3606.0,3864.0,3952.0
2154,HORNSBY,1571.0,1409.0,1499.0,1410.0,1674.0,1496.0,1458.0,1420.0,1435.0,1670.0,598.0,560.0,570.0,580.0,580.0,220.0,201.0,247.0,248.0,238.0,106.0,92.0,147.0,163.0,155.0,2584.0,2578.0,2618.0,2730.0,2731.0
2154,THE HILLS SHIRE,1571.0,1409.0,1499.0,1410.0,1674.0,1496.0,1458.0,1420.0,1435.0,1670.0,598.0,560.0,570.0,580.0,580.0,220.0,201.0,247.0,248.0,238.0,106.0,92.0,147.0,163.0,155.0,2584.0,2578.0,2618.0,2730.0,2731.0
2155,BLACKTOWN,1032.0,1134.0,1114.0,1111.0,1166.0,1030.0,1138.0,1100.0,1127.0,1216.0,560.0,590.0,570.0,550.0,580.0,629.0,419.0,622.0,619.0,606.0,279.0,180.0,312.0,395.0,370.0,4530.0,4574.0,4861.0,5216.0,5301.0
2155,THE HILLS SHIRE,1032.0,1134.0,1114.0,1111.0,1166.0,1030.0,1138.0,1100.0,1127.0,1216.0,560.0,590.0,570.0,550.0,580.0,629.0,419.0,622.0,619.0,606.0,279.0,180.0,312.0,395.0,370.0,4530.0,4574.0,4861.0,5216.0,5301.0
2156,HORNSBY,1937.0,1960.0,2055.0,2286.0,2210.0,1875.0,1925.0,2002.0,2268.0,2170.0,650.0,720.0,720.0,725.0,600.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,35.0,40.0,36.0,322.0,319.0,323.0,322.0,318.0
2156,THE HILLS SHIRE,1937.0,1960.0,2055.0,2286.0,2210.0,1875.0,1925.0,2002.0,2268.0,2170.0,650.0,720.0,720.0,725.0,600.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,35.0,40.0,36.0,322.0,319.0,323.0,322.0,318.0
